iter	Passed	Remaining
825	5696	1200
826	5699	1192
827	5702	1184
828	5705	1176
829	5709	1169
830	5714	1162
831	5717	1154
832	5721	1146
833	5725	1139
834	5731	1132
835	5734	1125
836	5738	1117
837	5741	1109
838	5744	1102
839	5747	1094
840	5750	1087
841	5753	1079
842	5756	1072
843	5759	1064
844	5763	1057
845	5766	1049
846	5770	1042
847	5773	1034
848	5776	1027
849	5779	1019
850	5782	1012
851	5784	1004
852	5787	997
853	5790	989
854	5794	982
855	5796	975
856	5799	967
857	5801	960
858	5804	952
859	5807	945
860	5810	938
861	5813	930
862	5815	923
863	5818	915
864	5821	908
865	5824	901
866	5826	893
867	5828	886
868	5830	879
869	5833	871
870	5835	864
871	5838	856
872	5840	849
873	5842	842
874	5844	834
875	5846	827
876	5848	820
877	5850	812
878	5852	805
879	5855	798
880	5857	791
881	5860	784
882	5862	776
883	5865	769
884	5867	762
885	5870	755
886	5872	748
887	5875	741
888	5878	733
889	5880	726
890	5883	719
891	5885	712
892	5888	705
893	5891	698
894	5893	691
895	5895	684
896	5898	677
897	5900	670
898	5903	663
899	5905	656
900	5907	649
901	5909	642
902	5911	635
903	5914	628
904	5916	621
905	5919	614
906	5920	607
907	5922	600
908	5925	593
909	5927	586
910	5930	579
911	5933	572
912	5935	565
913	5938	558
914	5941	551
915	5943	545
916	5946	538
917	5955	531
918	5958	525
919	5960	518
920	5962	511
921	5965	504
922	5967	497
923	5970	491
924	5972	484
925	5975	477
926	5977	470
927	5979	463
928	5982	457
929	5983	450
930	5985	443
931	5987	436
932	5989	430
933	5991	423
934	5993	416
935	5995	409
936	5997	403
937	5999	396
938	6001	389
939	6003	383
940	6005	376
941	6008	369
942	6010	363
943	6012	356
944	6014	350
945	6017	343
946	6020	336
947	6022	330
948	6024	323
949	6027	317
950	6029	310
951	6031	304
952	6051	298
953	6053	291
954	6055	285
955	6058	278
956	6060	272
957	6063	265
958	6065	259
959	6067	252
960	6070	246
961	6072	239
962	6074	233
963	6077	226
964	6079	220
965	6081	214
966	6083	207
967	6085	201
968	6087	194
969	6089	188
970	6091	181
971	6092	175
972	6094	169
973	6096	162
974	6098	156
975	6100	150
976	6102	143
977	6104	137
978	6106	130
979	6108	124
980	6110	118
981	6112	112
982	6114	105
983	6116	99
984	6118	93
985	6120	86
986	6122	80
987	6124	74
988	6126	68
989	6129	61
990	6130	55
991	6132	49
992	6134	43
993	6137	37
994	6139	30
995	6141	24
996	6143	18
997	6145	12
998	6147	6
999	6149	0
464	19
997	6466	12
998	6468	6
